시군명,확진시기,확진자수
정선,2020-03-25,0
철원,2020-03-25,0
화천,2020-03-25,0
양구,2020-03-25,0
인제,2020-03-25,0
고성,2020-03-25,0
양양,2020-03-25,0
춘천,2020-03-26,0
원주,2020-03-26,0
강릉,2020-03-26,0
동해,2020-03-26,0
태백,2020-03-26,0
속초,2020-03-26,0
삼척,2020-03-26,0
홍천,2020-03-26,0
횡성,2020-03-26,0
영월,2020-03-26,0
평창,2020-03-26,0
정선,2020-03-26,0
철원,2020-03-26,0
화천,2020-03-26,0
양구,2020-03-26,0
인제,2020-03-26,0
고성,2020-03-26,0
양양,2020-03-26,0
춘천,2020-03-27,1
원주,2020-03-27,0
강릉,2020-03-27,1
동해,2020-03-27,0
태백,2020-03-27,0
속초,2020-03-27,0
삼척,2020-03-27,0
홍천,2020-03-27,0
횡성,2020-03-27,0
영월,2020-03-27,0
평창,2020-03-27,0
정선,2020-03-27,0
철원,2020-03-27,0
화천,2020-03-27,0
양구,2020-03-27,0
인제,2020-03-27,0
고성,2020-03-27,0
양양,2020-03-27,0
춘천,2020-03-28,1
원주,2020-03-28,0
강릉,2020-03-28,0
동해,2020-03-28,0
태백,2020-03-28,0
속초,2020-03-28,1
삼척,2020-03-28,0
홍천,2020-03-28,0
횡성,2020-03-28,0
영월,2020-03-28,0
평창,2020-03-28,0
정선,2020-03-28,0
철원,2020-03-28,0
화천,2020-03-28,0
양구,2020-03-28,0
인제,2020-03-28,0
고성,2020-03-28,0
양양,2020-03-28,0
춘천,2020-03-29,1
원주,2020-03-29,0
강릉,2020-03-29,0
동해,2020-03-29,0
태백,2020-03-29,0
속초,2020-03-29,0
삼척,2020-03-29,0
홍천,2020-03-29,0
횡성,2020-03-29,0
영월,2020-03-29,0
평창,2020-03-29,0
정선,2020-03-29,0
철원,2020-03-29,0
화천,2020-03-29,0
양구,2020-03-29,0
인제,2020-03-29,0
고성,2020-03-29,0
양양,2020-03-29,0
춘천,2020-03-30,0
원주,2020-03-30,0
강릉,2020-03-30,0
동해,2020-03-30,0
태백,2020-03-30,0
속초,2020-03-30,0
삼척,2020-03-30,0
홍천,2020-03-30,0
횡성,2020-03-30,0
영월,2020-03-30,0
